release_date,price,developer
2005-07-02,9.99,"Merscom,Babylon"
2006-04-12,9.99,Telltale Games
2008-07-29,9.99,BigAnt Studios
2008-01-08,9.99,Zemnott
2007-07-02,9.99,Gabriel Entertainment
2008-01-12,9.99,Zemnott
2007-08-08,9.99,Zemnott
2008-05-20,9.99,Frogwares
2008-04-14,9.99,Frogwares
2008-07-31,4.99,"Luc Bernard,SilverSphereStudios"
2007-05-25,7.99,Lesta Studio
2008-08-21,4.99,Dialogue Design
2008-08-19,19.99,Bugbear Entertainment
1998-11-17,2.99,Oddworld Inhabitants
1997-12-12,2.99,Oddworld Inhabitants
2008-09-01,7.99,SimBin
2001-04-19,4.99,"MicroProse Software, Inc"
1997-07-15,4.99,"MicroProse Software, Inc"
1993-12-31,4.99,"MicroProse Software, Inc"
2008-09-15,9.99,GSC Game World
2008-09-17,19.99,Crytek
2007-11-13,19.99,Crytek
1998-06-15,4.99,"MicroProse Software, Inc"
2008-09-16,9.99,CD PROJEKT RED
2008-09-19,9.99,Introversion Software
2008-10-22,2.99,SimBin
2008-08-28,2.49,"Tilted Mill Entertainment, Inc."
2008-09-23,19.99,Firaxis Games
2003-03-18,9.99,"Red Storm Entertainment,Ubisoft Montreal"
2008-09-29,19.99,Traveller's Tales
2008-07-18,9.99,Monte Cristo
2008-09-30,9.99,"Tilted Mill Entertainment, Inc."
2008-10-08,9.99,Gearbox Software
2008-08-31,4.99,Dark Castle Software
2006-12-01,4.99,Techland
2006-11-14,9.99,Nival
2005-10-04,9.99,Gearbox Software
2007-10-16,9.99,Nival
2008-04-18,19.99,Blue Byte
2007-09-25,9.99,Ubisoft
2002-05-31,9.99,Red Storm Entertainment
2008-10-15,4.99,"PopCap Games, Inc."
2008-10-13,9.99,2D BOY
2008-10-16,15.99,Egosoft
2008-10-17,Free,Sandstorm Productions
2008-10-20,4.99,Shorebound Studios
2008-10-21,19.99,Perpetual FX Creative
2008-10-21,14.99,Rockstar New England
2008-10-22,9.99,Ubisoft Montreal
2008-10-23,4.99,Meridian4
2009-01-01,4.99,RailSimulator.com
2009-01-01,4.99,RailSimulator.com
2009-01-01,4.99,RailSimulator.com
2009-01-01,4.99,Reppo
2009-01-01,4.99,RailSimulator.com
2009-01-01,4.99,Dovetail Games
2009-01-01,4.99,Dovetail Games
2009-01-28,9.99,Volition
2008-10-20,19.99,EA Redwood Shores
2008-12-16,9.99,Liquid Entertainment
2009-01-13,19.99,DICE
2008-12-08,9.99,Hidden Path Entertainment
2009-02-12,14.99,Monolith
2008-03-05,7.99,Oxeye Game Studio
2007-07-04,9.99,Inventive Dingo
2009-03-19,4.99,Meridian4
2005-05-10,9.99,Black Sea Studios Ltd
2009-02-27,5.99,Realmforge Studios
2009-03-04,2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2009-03-04,4.99,Deadline Games
2007-03-30,9.99,Frictional Games
2007-11-19,19.99,"Epic Games, Inc."
2009-02-27,9.99,Radon Labs
2008-03-21,4.99,Tale of Tales
2009-02-03,19.99,Criterion Games
2009-03-09,9.99,Twisted Pixel Games
2009-03-16,1.25,Twisted Pixel Games
2009-03-16,1.25,Twisted Pixel Games
2009-03-19,4.99,IonFX
2009-03-19,9.99,Llamasoft LTD
2009-03-10,14.99,"InnoGlow,Stormregion,THQ Nordic"
2009-04-15,4.99,SpinTop Games
2006-10-27,19.99,ArenaNet®
2005-04-28,19.99,ArenaNet®
2006-04-28,19.99,ArenaNet®
2008-09-25,29.99,ArenaNet®
2009-04-16,14.99,Infinite Interactive
2009-04-29,9.99,MumboJumbo
2009-04-30,9.99,Reality Pump Studios
2009-04-30,9.99,Spellbound
2009-02-10,9.99,Gaijin Entertainment
2009-04-21,9.99,ACE Team
2009-04-29,1.25,Twisted Pixel Games
2008-09-23,6.99,1C Company
2009-05-06,9.99,Last Day of Work
2009-05-06,2.99,Sky Fallen
2005-03-08,4.99,Irrational Games
2002-03-26,4.99,Irrational Games
2009-06-04,14.99,SaintXi
2009-06-09,Free,Darklight Games
2009-06-10,19.99,Radical Entertainment
Jun 2009,4.99,Erik Svedäng
2004-04-30,4.99,Ascaron Entertainment ltd.
2006-04-26,4.99,Headfirst Productions
2007-09-11,14.99,Bethesda Game Studios
2002-04-29,14.99,Bethesda Game Studios
2009-06-16,19.99,Bethesda Game Studios®
2007-05-18,4.99,Deck 13
1999-09-01,9.99,NovaLogic
1998-09-07,9.99,NovaLogic
2008-09-15,4.99,Mascot Entertainment
2009-06-30,9.99,Techland
2007-10-01,6.99,HeR Interactive
2006-10-01,6.99,HeR Interactive
2008-07-01,6.99,HeR Interactive
2007-07-01,6.99,HeR Interactive
2008-12-24,Free To Play,Digital Eel
2009-07-07,19.99,Telltale Games
2009-07-07,19.99,Capcom
2007-10-09,9.99,Frontier
1992-06-01,5.99,LucasArts
2003-12-02,5.99,Planet Moon Studios
2005-11-01,9.99,Pandemic Studios
1989-07-01,5.99,LucasArts
2008-06-03,19.99,Traveller's Tales
2009-07-15,9.99,LucasArts
2008-11-20,12.99,GFI Russia
2009-06-02,9.99,Targem Games
2009-07-21,6.99,HeR Interactive
2006-12-20,9.99,Wanako Games
2006-09-01,19.99,Sierra
2007-10-30,19.99,Saber Interactive
2006-09-01,19.99,Sierra
2009-07-24,7.99,Tripwire Interactive
2008-06-04,9.99,Artech Studios
2009-07-24,6.99,"PopTop Software,BreakAway Games,Frog City Software"
2009-07-27,4.99,SpinTop Games
2008-08-14,9.99,Capcom
2009-07-28,9.99,Capcom
2009-07-29,4.99,Deadline Games
2009-08-04,4.99,Sakari Indie
2003-11-19,9.99,"BioWare,Aspyr (Mac)"
2009-08-18,9.99,Hemisphere Games
1998-12-01,9.99,Black Isle Studios
2001-03-01,9.99,14° East
1999-06-01,9.99,Xatrix Entertainment
2000-11-01,9.99,Shiny Entertainment
2009-08-20,19.99,Telltale Games
2009-08-24,19.99,iWin
2009-08-24,9.99,iWin
2009-06-22,4.99,Size Five Games
2005-03-29,9.99,Ubisoft Montreal
2009-08-28,4.99,Unicorn Games Studio
2009-10-30,14.99,Blue Fang
2009-09-08,9.99,IO Interactive
2009-09-23,19.99,"Freeze Tag Inc.,iQ212"
1999-11-30,19.99,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
2009-05-26,2.99,"Vectorpark, Inc."
2009-09-25,24.99,All Aboard
2009-09-28,9.99,MumboJumbo
2009-09-07,19.99,Telltale Games
2009-08-18,19.99,NovaLogic
2009-10-01,17.99,Dovetail Games
2009-09-30,9.99,PlayFirst
2009-10-01,19.99,Dovetail Games
2009-10-30,9.99,Piranha Bytes
2009-10-01,3.99,Honeyslug
2009-10-05,9.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2009-10-16,9.99,Amanita Design
2007-09-04,9.99,EA Los Angeles
2009-09-15,19.99,Slightly Mad Studios
2009-10-27,14.99,Runic Games
2009-03-12,19.99,EA Los Angeles
2009-10-27,19.99,FireFly Studios
2009-10-27,4.99,Nitro Games
2009-10-27,9.99,Homegrown Games
2009-10-29,14.99,"Phenomic,THQ Nordic"
2009-10-29,9.99,Animation Arts
2009-10-29,4.99,Stormregion
2009-10-07,19.99,Telltale Games
2009-11-01,4.99,1C Company
2009-09-19,4.99,Konstantin Koshutin
2009-11-03,9.99,Phenomic
2005-03-03,9.99,Wargaming.net
2003-10-28,9.99,Wargaming.net
2009-11-19,6.99,HeR Interactive
2009-11-24,14.99,Croteam
2009-10-29,9.99,Animation Arts
2009-11-06,19.99,BioWare
2009-05-07,4.99,Citeremis Inc.
2009-11-05,1.99,Yullaby
2009-11-11,9.99,Crystal Empire Games
2009-11-12,19.99,"Infinity Ward,Aspyr (Mac)"
2009-11-12,19.99,"Traveller's Tales,Feral Interactive (Mac)"
2007-06-26,4.99,"Triumph Studios,Virtual Programming"
2008-02-15,9.99,"Triumph Studios,Virtual Programming"
2007-03-28,14.99,EA Los Angeles
2008-07-23,4.99,KranX Productions
2009-11-13,19.99,EA Los Angeles
2009-11-16,14.99,Positech Games
2009-12-25,9.99,Gaijin Entertainment
2005-06-17,9.99,inXile Entertainment
2009-10-22,Free,Defence Alliance Team
2009-11-03,19.99,"LucasArts,Aspyr Studios"
2009-12-15,9.99,Paradox Interactive
2009-10-13,19.99,Bethesda Game Studios
2009-12-16,5.99,Positech Games
2007-10-02,9.99,Hip Soft
2008-04-29,9.99,Hip Soft
2009-01-24,9.99,Hip Soft
2009-12-17,9.99,iWin
2009-12-17,1.99,Spidermonk Entertainment
2008-07-08,19.99,Capcom
2010-03-17,9.99,ClockStone Studios
2009-08-12,9.99,Hip Soft
2010-02-12,Free,Octoshark Studios
2008-08-27,4.99,Alawar
2010-01-06,9.99,Alawar
2009-09-11,9.99,Alawar
2007-12-07,4.99,Alawar
2009-02-18,4.99,Alawar
2010-02-16,6.99,Sandlot Games
2010-02-16,6.99,Sandlot Games
2010-02-16,6.99,Cateia Games
2010-02-17,9.99,Chaos Concept
2010-02-18,19.99,Traveller's Tales
2010-02-18,4.99,New Star Games Ltd
2010-02-18,0.99,Paradox Interactive
2010-02-19,6.99,The Farm 51
2007-12-01,9.99,Awem Studio
2010-03-18,7.49,Rebellion
2001-03-21,9.99,Croteam
2010-03-19,19.99,All Aboard
2010-03-31,19.99,TaleWorlds Entertainment
2010-03-26,4.99,ZoopTEK
2010-04-05,4.99,Beatnik Games
2010-04-08,9.99,Fatshark
2010-04-12,19.99,Rockstar North / Toronto
2010-04-12,4.99,Other Ocean Interactive
2010-04-14,0.99,Nemesys Games
2010-04-15,9.99,Cold Beam Games
2010-04-15,19.99,Telltale Games
2010-04-19,9.99,Realmforge Studios
2010-04-19,4.99,Gaijin Entertainment
2010-04-20,4.99,The Odd Gentlemen
2003-08-19,4.99,THQ Nordic
2001-11-30,4.99,THQ Nordic
2010-04-20,1.99,Red Chain Games Ltd.
2006-07-19,9.99,Big Fish Games
2008-06-19,9.99,Big Fish Games
2010-05-05,2.99,"The Creative Assembly,Feral Interactive (Mac)"
2008-12-31,6.99,Sarbakan
2009-09-24,6.99,PlayFirst
2009-07-27,6.99,Absolutist Ltd.
2007-10-19,6.99,PlayFirst
2009-12-24,6.99,PlayFirst
2010-03-19,6.99,PlayFirst
2008-02-11,6.99,PlayFirst
2007-12-31,6.99,PlayFirst
2009-12-21,6.99,PlayFirst
2010-05-07,9.99,G5 Entertainment
2010-05-11,14.99,Climax Studios
2010-05-12,4.99,Muse Games
2010-05-28,4.99,Ideas Pad
2010-06-08,19.99,Ubisoft
2010-05-28,4.99,Kokakiki
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,61.99,D3T Limited
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,4.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,2.99,SEGA
2010-06-01,14.99,Obsidian Entertainment
2010-06-03,9.99,Team17 Software Ltd.
2010-07-16,4.99,Bethesda Game Studios
2010-06-02,0.99,Hidden Path Entertainment
2010-07-16,4.99,Bethesda Game Studios
2010-07-16,4.99,Bethesda Game Studios
2010-07-16,4.99,Bethesda Game Studios
2010-07-19,Free,Valve
2010-07-16,4.99,Bethesda Game Studios
2003-09-22,19.99,"EA - Maxis,Aspyr (Mac)"
2010-07-16,14.99,"Akella,.dat"
2010-07-16,4.99,"Arcen Games, LLC"
2010-07-19,9.99,Invent4 Entertainment
2010-07-21,3.99,Blue Byte
2008-12-08,9.99,Dagger Games
2010-08-17,9.99,IO Interactive
2010-07-28,9.99,Rune Forge
2010-07-26,0.99,Paradox Interactive
2010-08-06,19.99,N3V Games
2010-08-06,4.99,Ino-Co
2011-03-22,29.99,"2K Czech,Feral Interactive (Mac)"
2010-08-06,4.99,Dovetail Games
2010-08-12,9.99,Infinite Interactive
2010-08-12,9.99,doublesix
2010-08-16,1.99,Playbrains
2010-08-16,1.99,Playbrains
2010-08-16,1.99,Playbrains
2010-08-16,2.99,Playbrains
2010-08-20,9.99,Paradox Development Studio
2010-08-27,19.99,VStep
2010-08-26,19.99,Team17 Digital Ltd
2010-06-22,14.99,Muzzy Lane Software
2010-08-27,8.99,Bohemia Interactive
2010-08-30,19.99,Paradox Development Studio
2010-08-16,1.99,Playbrains
2010-08-31,5.99,IO Interactive
2010-08-31,1.99,IO Interactive
2010-09-01,19.99,N3V Games
2010-08-31,2.99,IO Interactive
2002-11-01,4.99,GSC Game World
2010-09-02,5.99,Revolution Software Ltd
2010-09-06,4.99,Zoë Mode
2010-09-06,9.99,"2K Czech,Feral Interactive (Mac)"
2010-09-08,1.99,City Interactive
2010-09-07,4.99,Terry Cavanagh
2010-09-08,3.99,Blue Byte
2010-09-08,19.99,Frictional Games
2010-09-10,19.99,EasyGameStation
2010-08-19,3.99,Dedication Games
2010-09-13,2.99,SEGA
2010-09-13,2.99,SEGA
2010-09-14,4.99,exosyphen studios
2010-09-14,4.99,exosyphen studios
2010-09-17,9.99,Subsoap
2010-09-17,14.99,Gaming Minds Studios
2010-09-13,2.99,SEGA
2010-09-17,14.99,Katauri Interactive
2010-09-17,4.99,Dovetail Games
2010-09-21,29.99,"Firaxis Games,Aspyr (Mac, Linux)"
2010-09-21,4.99,Nitro Games
2002-02-05,9.99,Croteam
2010-09-20,9.99,Blind Mind Studios
2010-09-22,2.99,Krome Studios
2010-09-22,9.99,Team17 Digital Ltd
2010-09-23,19.99,Vigil Games
1999-07-01,4.99,Egosoft
2010-10-08,9.99,NeoCoreGames
2007-08-31,19.99,ArenaNet®
2000-06-01,4.99,Egosoft
Oct 2010,9.99,Triumph Studios
2010-10-11,7.99,I Sioux Game Productions B.V.
2010-10-11,14.99,I Sioux Game Productions B.V.
Oct 2010,9.99,Triumph Studios
Oct 2010,5.99,Triumph Studios
2010-10-12,19.99,Electronic Arts
2010-10-15,9.99,"Headup Games,Silent Dreams"
2010-10-15,19.99,"CAPCOM CO., LTD."
2010-10-15,4.99,Stickmen Studios
2010-10-19,9.99,Obsidian Entertainment
2010-10-15,6.99,Dmytry Lavrov
2010-10-22,4.99,Ivy Games
2010-10-25,9.99,Noumenon Games
2010-10-25,4.99,"Firaxis Games,Aspyr (Mac, Linux)"
2010-10-25,14.99,Hothead Games
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,4.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-26,2.99,SEGA
2010-10-25,9.99,Klei Entertainment
2010-10-26,9.99,Teotl Studios
2010-10-26,19.99,Aspyr Studios
2010-11-18,4.99,Firemint
2010-11-18,4.99,Ascaron Entertainment ltd.
2010-11-02,9.99,Gaijin Games
2010-11-02,1.99,1C Company
2010-11-02,4.99,Nitro Games
2010-11-18,4.99,Tomkorp Computer Solutions Inc.
2010-11-02,1.99,Paradox Interactive
2010-11-02,3.99,Double Helix Games
2010-11-05,9.99,Centauri Production
2009-10-01,6.99,Centauri Production
2010-11-03,12.99,Centauri Production
2007-04-05,4.99,Altar Games
2010-11-02,9.99,React Games
2010-11-09,39.99,Treyarch
2010-11-09,0.99,Sonic Boom Games
2010-12-02,4.99,Joshyy
2010-12-20,4.99,Oddworld Inhabitants
2010-11-09,1.99,Sonic Boom Games
2010-12-20,9.99,Oddworld Inhabitants
2010-12-23,4.99,"Ntreev Soft Co., Ltd."
2010-12-23,19.99,Telltale Games
2002-05-21,9.99,Rockstar Games
2005-06-06,14.99,Rockstar Games
2011-01-07,3.49,Crystal Dynamics Inc.
2011-01-07,3.49,Crystal Dynamics Inc.
2011-01-07,3.49,Crystal Dynamics
2011-01-07,3.49,Crystal Dynamics Inc.
2003-05-13,9.99,Rockstar Games
2011-01-12,9.99,Brightside Games
2011-01-20,4.99,Extend Studio
2011-01-20,14.99,BlueGiant Interactive
2011-01-25,19.99,Visceral Games
2011-01-19,9.99,Big Fish Studios
2011-01-20,4.99,Cateia Games
2011-01-26,2.99,SEGA
2011-01-24,4.99,Uber Entertainment
2011-01-25,9.99,MumboJumbo
2011-01-26,2.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,4.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,4.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,4.99,SEGA
2011-01-26,2.99,SEGA
2011-01-26,2.99,SEGA
2009-06-02,19.99,The Sims Studio
2011-01-26,3.99,VStep
2010-09-07,19.99,The Sims Studio
2009-11-17,19.99,The Sims Studio
2010-10-26,19.99,The Sims Studio
2010-06-02,19.99,The Sims Studio
2010-02-02,19.99,The Sims Studio
2011-01-27,4.99,Trinoteam
2011-01-28,14.99,Virtual Prophecy Entertainment
2011-02-01,19.99,The Sims Studio
2011-01-31,5.99,Mediatonic
2011-02-02,5.99,Cyan Worlds
2011-02-01,2.99,Petroglyph
2011-02-03,19.99,Reality Pump Studios
Feb 2011,19.99,Eden Studios
2011-02-03,3.99,NeoCoreGames
2011-02-11,6.99,Positech Games
2011-02-09,3.99,NeoCoreGames
2011-02-10,9.99,Realmforge Studios
2011-02-14,4.99,"Arcen Games, LLC"
2011-01-11,19.99,DTP
2011-03-08,9.99,Stainless Games
2011-03-11,4.99,Fakt Software
2011-02-28,9.99,Gaijin Games
2011-03-14,19.99,"Kaos Studios,Digital Extremes"
2011-02-28,9.99,Red Redemption
2011-02-28,2.99,Copenhagen Game Collective
2011-02-28,0.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-02-28,0.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-02-28,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-02-28,0.99,"Relic Entertainment,Feral interactive (Mac/Linux)"
2011-02-28,0.99,"Relic Entertainment,Feral interactive (Mac/Linux)"
2013-10-24,Free To Play,Trion Worlds
2011-02-28,29.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-03-01,3.99,Stout Games
2011-02-28,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-04-05,9.99,Black Lion Studios
2011-04-05,3.99,Colossal Order Ltd.
2011-04-05,3.99,VStep
2011-04-06,6.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-04-08,3.99,SimBin
2011-04-08,9.99,11 bit studios
2010-06-10,14.99,Ntronium Games
2011-04-08,9.99,Martin Ivanov
2011-04-11,3.99,Realmforge Studios
2011-04-08,9.99,800 North and Digital Ranch
2011-04-11,9.99,Gaming Minds Studios
2011-04-18,19.99,Valve
2011-04-12,4.99,Arrowhead Game Studios
2011-04-15,9.99,Coffee Stain Studios
2011-04-19,19.99,1C:InoCo
2011-05-26,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-04-20,9.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-05-26,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-05-26,24.99,Mode 7
2011-05-26,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-05-27,4.99,inner seas
2011-05-30,4.99,inXile Entertainment
2011-05-31,9.99,Fatshark
2011-05-31,19.99,The Sims Studio
2011-05-31,5.99,Colossal Order Ltd.
2011-05-31,0.99,Arrowhead Game Studios
2011-06-01,1.99,Behaviour
2009-08-10,7.99,Microids
2005-06-06,7.99,Microids
2011-06-02,14.99,Treyarch
2011-06-20,14.99,Obsidian Entertainment
2011-06-13,19.99,Gearbox Software
2011-06-14,Free To Play,Red Duck Inc.
2009-09-01,Free To Play,Cryptic Studios
2011-06-14,Free To Play,Grey Havens
2011-06-13,9.99,"Apus Software,Three Donkeys LLC"
2011-06-14,3.99,Colossal Order Ltd.
2011-06-14,9.99,Reality Pump Studios
2011-06-15,Free,Peter Brinson and Kurosh ValaNejad
2011-06-15,19.99,Stainless Games Ltd
2011-05-20,9.99,Bacon Wrapped Games
2011-06-16,4.99,Cold Beam Games
2011-06-16,5.99,Mode 7
2011-06-17,9.99,Murudai
2011-06-21,9.99,Totem Games
2011-06-21,9.99,Totem games
2011-06-21,2.99,Arrowhead Game Studios
2011-06-21,9.99,Totem Games
2011-06-21,19.99,Day 1 Studios
2011-06-21,1.99,Arrowhead Game Studios
2011-06-21,1.99,Arrowhead Game Studios
2011-06-22,19.99,N3V Games
2011-06-21,1.99,Arrowhead Game Studios
2011-06-23,1.99,Paradox Interactive
2011-06-24,14.99,Bedlam Games
2011-06-23,3.99,SimBin
2011-06-24,6.99,Giants Software
2011-06-23,1.99,Paradox Interactive
2011-06-28,4.99,Paradox Development Studio
2011-06-30,4.99,Team17 Digital Ltd
2011-06-30,4.99,Team17 Digital Ltd
2011-06-30,4.99,Team17 Digital Ltd
2011-07-01,2.99,Realmforge Studios
2011-06-30,4.99,Team17 Digital Ltd
2011-06-30,9.99,Telltale Games
2011-07-02,7.99,Tripwire Interactive
2011-07-18,3.99,Ageod
2011-07-18,0.99,Secret Base
2011-07-18,4.99,Obsidian Entertainment
2011-07-19,6.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-07-19,4.99,YeaBoing
2011-07-19,8.99,Dovetail Games
2011-07-21,0.99,"Kaos Studios,Digital Extremes"
2011-07-20,9.99,Mystic Box
2011-07-21,1.99,Digitalmindsoft
2011-07-22,1.99,"Dejobaan Games, LLC"
2011-07-22,0.99,Lunar Giant
2011-07-22,0.99,Extend Studio
2011-07-22,2.99,Colossal Order Ltd.
2010-08-24,6.99,HeR Interactive
2011-08-08,4.99,Bohemia Interactive
2011-07-22,1.99,Zachtronics
2011-09-01,14.99,Haemimont Games
2011-06-28,6.99,HeR Interactive
2010-06-29,6.99,HeR Interactive
2011-08-10,6.99,Total Eclipse
2011-08-10,3.99,Ageod
2011-08-11,6.99,Two Tribes
2011-08-11,4.99,"Firaxis Games,Aspyr (Mac, Linux)"
2011-08-11,4.99,"Firaxis Games,Aspyr (Mac, Linux)"
2011-08-12,9.99,Coffee Stain Studios
2011-08-15,4.99,exosyphen studios
2011-08-15,9.99,MinMax Games Ltd.
2011-08-16,3.99,TimeGate Studios
2011-08-16,2.99,TimeGate Studios
2011-08-16,3.99,TimeGate Studios
2011-08-16,6.99,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2011-09-20,4.99,Obsidian Entertainment
2011-08-31,Free To Play,Three Rings
2011-08-31,14.99,Hothead Games
2011-09-05,29.99,Relic
2011-09-08,7.99,1C Company
2012-07-12,14.99,Flying Wild Hog
2011-09-06,3.99,Ageod
2011-09-01,9.99,"Octane Games,Meridian4"
2011-09-07,9.99,ACE Team
2011-09-13,19.99,Tripwire Interactive
2011-09-14,5.99,Colossal Order Ltd.
